1,1,32,3,100,0,0,1,1,1,1,2,0
1,1,3,32,104,1,0,1,1,1,1,2,0
1,1,32,74,305,0,0,1,0,0,0,1,0
2,0,45,34,378,0,0,1,1,1,1,2,0
2,0,45,34,420,0,0,1,1,1,1,2,0
2,0,45,34,534,0,0,1,1,1,1,2,0
1,2,61,74,556,0,0,1,0,0,0,1,0
2,0,45,34,702,0,0,1,1,1,1,2,0
1,2,61,74,709,0,0,1,0,0,0,1,0
1,2,74,61,755,0,0,1,0,0,0,1,0
1,1,3,61,757,1,0,1,0,0,0,1,0
1,1,32,3,1069,0,0,1,1,1,1,2,0
1,2,61,3,1090,0,0,1,0,0,0,1,0
1,2,61,18,1110,1,0,1,0,0,0,1,0
1,2,45,34,1128,0,0,1,1,1,1,2,0
1,1,3,32,1138,1,0,1,1,1,1,2,0
1,1,3,18,1142,0,0,1,0,0,0,0,0
1,1,32,25,1205,0,0,1,0,0,0,2,0
2,0,45,34,1206,0,0,1,1,1,1,2,0
1,1,32,3,1244,0,0,1,1,1,1,2,0
1,2,61,18,1266,1,0,1,0,0,0,1,0
1,1,3,25,1287,0,0,1,0,0,0,0,0
1,1,3,18,1368,0,0,1,0,0,0,0,0
1,1,61,3,1397,0,0,1,0,0,0,1,0
1,2,74,61,1409,0,0,1,0,0,0,1,0
1,1,3,25,1441,0,0,1,0,0,0,0,0
1,0,27,61,1466,0,0,1,0,0,0,1,0
1,2,45,34,1477,0,0,1,1,1,1,2,0
2,0,45,34,1478,0,0,1,1,1,1,2,0
1,2,61,36,1516,0,0,1,0,0,0,2,0
2,0,45,34,1569,0,0,1,1,1,1,2,0
1,1,3,61,1583,1,0,1,0,0,0,1,0
1,1,32,3,1593,1,0,1,1,1,1,2,0
1,1,32,25,1595,0,0,1,0,0,0,2,0
1,2,36,61,1600,0,0,1,0,0,0,0,0
1,2,74,61,1609,0,0,1,0,0,0,1,0
1,2,61,45,1623,0,0,1,0,0,0,1,0
2,0,45,34,1625,0,0,1,1,1,1,2,0
1,1,36,74,1636,0,0,1,0,0,0,2,0
1,2,61,18,1637,1,0,1,0,0,0,1,0
1,1,3,61,1658,1,0,1,0,0,0,1,0
1,1,3,61,1660,1,0,1,0,0,0,1,0
1,1,3,32,1663,1,0,1,1,1,1,2,0
1,1,3,32,1665,1,0,1,1,1,1,2,0
1,1,3,32,1668,1,0,1,1,1,1,2,0
1,2,45,61,1727,0,0,1,0,0,0,1,0
1,1,27,45,1738,0,0,1,0,0,0,0,0
1,2,45,18,1738,0,0,1,0,0,0,0,0
1,2,61,34,1761,0,0,1,0,0,0,0,0
1,2,45,27,1762,0,0,1,0,0,0,0,0
1,2,61,45,1763,0,0,1,0,0,0,1,0
1,2,45,3,1764,0,0,1,0,0,0,0,0
1,1,3,25,1785,0,0,1,0,0,0,0,0
1,1,3,45,1788,0,0,1,0,0,0,0,0
1,1,25,18,1788,1,1,1,0,0,1,0,0
1,2,74,34,1799,0,0,1,0,0,0,0,0
1,2,34,74,1807,0,0,1,0,0,0,0,0
1,2,61,18,1808,1,0,1,0,0,0,1,0
1,2,34,61,1822,0,0,1,0,0,0,0,0
1,0,27,61,1827,0,0,1,0,0,0,1,0
1,2,74,45,1844,0,0,1,0,0,0,0,0
1,1,32,3,1854,1,0,1,1,1,1,2,0
1,0,37,36,1871,0,0,1,0,0,0,0,0
1,2,45,61,1884,0,0,1,0,0,0,1,0
1,2,74,61,1890,0,0,1,0,0,0,1,0
1,2,45,74,1895,0,0,1,0,0,0,0,0
1,2,45,61,1911,1,0,1,0,0,0,1,0
1,2,45,34,1914,0,0,1,1,1,1,2,0
1,2,45,74,1915,0,0,1,0,0,0,0,0
1,2,61,27,1928,0,0,1,0,0,0,0,0
1,1,36,37,1938,0,0,1,0,0,0,0,0
1,2,61,3,2008,0,0,1,0,0,0,1,0
1,2,37,45,2016,0,0,1,0,0,0,0,0
1,2,61,74,2045,0,0,1,0,0,0,1,0
1,2,34,61,2046,0,0,1,0,0,0,0,0
1,2,45,34,2049,0,0,1,1,1,1,2,0
1,2,74,61,2055,0,0,1,0,0,0,1,0
1,1,3,61,2071,1,0,1,0,0,0,1,0
1,1,3,32,2074,1,0,1,1,1,1,2,0
2,0,45,74,2084,0,0,1,0,0,0,0,0
1,1,32,45,2113,0,0,1,0,0,0,1,0
1,1,32,34,2127,0,0,1,0,0,0,0,0
1,2,34,45,2127,1,0,1,1,1,1,2,0
1,0,27,74,2132,0,0,1,0,0,0,1,0
1,2,45,32,2165,0,0,1,0,0,0,2,0
1,2,61,37,2166,0,0,1,0,0,0,0,0
1,2,61,18,2167,1,0,1,0,0,0,1,0
