@relation reception-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-Lfirst-last-weka.filters.unsupervised.attribute.Remove-R1

@attribute msg_id numeric
@attribute hop_src_user_id numeric
@attribute hop_dst_user_id numeric
@attribute dst_timestamp numeric

@data
803,1,10,40266
807,1,10,40267
598,1,10,40267
808,1,10,40268
686,1,10,40268
589,1,10,40269
588,1,10,40269
590,1,10,40269
591,1,10,40269
847,1,10,40270
803,1,69,40297
803,1,69,40435
807,1,69,40436
808,1,69,40436
598,1,69,40436
686,1,69,40437
589,1,69,40437
568,1,10,40533
569,1,10,40994
569,1,69,40999
569,1,69,40999
615,1,22,41018
868,1,69,41083
869,1,69,41162
870,1,69,41163
868,1,69,41167
871,1,69,41247
872,1,69,43498
828,1,10,45871
576,1,10,45872
891,1,10,45873
698,1,10,45874
572,1,10,47173
569,1,22,48266
615,1,22,48266
573,1,10,50879
887,1,22,50951
618,1,22,51082
617,1,22,51181
619,1,22,51393
620,1,22,51492
863,1,22,51855
855,1,22,51856
604,1,22,51856
852,1,22,51856
595,1,22,51857
571,1,10,53570
801,1,32,54113
801,1,10,55260
694,1,32,56949
687,1,32,56953
695,1,32,56953
697,1,5,63403
587,1,5,63414
664,1,32,88592
595,1,22,89092
852,1,22,89092
855,1,22,89092
578,1,11,89681
896,1,10,91552
896,1,32,91765
571,1,22,91801
801,1,22,91802
574,1,10,91832
896,1,11,91953
577,1,11,91953
878,1,69,194893
647,1,22,195085
647,1,22,195438
645,1,22,195438
877,1,22,195439
648,1,22,195539
877,1,69,195543
793,1,22,195628
813,1,22,195628
625,1,22,195633
624,1,22,195633
650,1,22,195744
650,1,22,195832
674,1,14,196063
674,1,14,196063
651,1,22,196196
674,1,11,196223
879,1,69,196379
881,1,69,196558
683,1,32,196818
877,1,3,197642
683,1,3,197642
680,1,69,197839
881,1,69,197840
680,1,17,199051
881,1,17,199051
815,3,59,36624
574,3,10,91914
689,3,33,101660
689,3,33,101660
666,3,32,107278
834,3,64,112028
835,3,64,112028
669,3,32,120558
667,3,32,120558
668,3,32,120558
670,3,32,120968
664,3,32,121198
618,3,32,121198
671,3,32,121219
672,3,32,121271
766,3,32,127274
789,3,45,182596
779,3,45,182596
709,3,36,184458
676,3,32,184856
676,3,32,184856
677,3,32,185144
678,3,32,185339
877,3,32,197264
683,3,32,197264
847,4,16,32567
591,4,16,32568
590,4,16,32568
686,4,16,32568
808,4,16,32568
807,4,16,32569
578,4,16,98138
620,4,16,98141
569,4,16,98144
687,4,16,98145
820,4,59,100878
801,4,71,103483
885,4,71,103626
697,4,71,103626
828,4,71,103631
576,4,71,103631
891,4,71,103631
698,4,71,103631
587,4,71,103631
662,4,12,116406
717,4,12,116407
577,4,12,116407
896,4,12,116410
695,4,12,116411
598,4,12,116421
588,4,12,116421
694,4,12,116422
803,4,12,116430
887,4,12,116431
589,4,12,116431
674,4,59,143413
662,4,12,143624
569,4,12,143625
620,4,12,143627
697,4,12,143627
801,4,12,143643
587,4,12,143644
698,4,12,143644
576,4,12,143644
891,4,12,143644
828,4,12,143644
651,4,32,198380
881,4,32,198380
680,4,32,198380
717,4,12,200893
780,4,12,201253
591,5,37,29403
847,5,37,29403
590,5,37,29403
589,5,37,29403
891,5,37,29404
576,5,37,29404
828,5,37,29404
887,5,37,29404
686,5,37,29405
698,5,26,29418
686,5,26,29590
887,5,26,29590
576,5,26,29591
891,5,26,29591
589,5,26,29591
590,5,26,29591
847,5,26,29591
591,5,26,29592
587,5,19,36276
563,5,6,36477
564,5,6,36706
801,5,43,36983
588,5,43,36983
587,5,43,37161
694,5,43,37377
697,5,16,38297
575,5,10,182137
559,6,5,36283
560,6,5,36425
824,6,60,97861
591,7,26,27270
847,7,26,27270
590,7,26,27270
686,7,15,27319
808,7,15,27320
807,7,15,27321
588,7,15,27323
591,7,15,27323
589,7,26,27452
891,7,26,27453
891,7,43,27499
589,7,43,27626
576,7,43,27626
828,7,43,27627
887,7,43,27628
828,7,28,27665
698,7,28,27754
694,7,28,27755
887,7,28,27766
698,7,28,27869
797,7,45,193438
694,8,19,45780
588,8,19,45786
801,8,19,45786
697,8,19,45786
587,8,19,45796
803,8,19,45797
698,8,19,45797
887,8,19,45797
828,8,19,45798
576,8,19,45799
891,8,19,45800
589,8,19,45801
847,8,19,45802
591,8,19,45803
590,8,19,45804
686,8,19,47333
808,8,19,47334
807,8,19,47334
577,8,12,97031
578,8,12,97031
896,8,12,97032
687,8,4,98473
569,8,4,98473
620,8,4,98474
569,8,4,98499
620,8,4,98500
569,8,19,106889
620,8,19,106889
717,8,19,107371
620,8,19,107371
717,8,33,116955
662,8,42,117617
662,8,42,117643
717,8,59,120604
717,8,4,128683
662,8,12,128879
717,8,12,128880
807,8,12,128987
808,8,12,128987
686,8,12,128987
590,8,12,128987
591,8,12,128987
847,8,12,128988
589,8,12,128988
887,8,12,128988
803,8,12,128988
694,8,12,128988
588,8,12,128995
695,8,12,128995
896,8,12,129002
687,8,12,129002
598,8,12,129002
674,8,12,129642
786,8,45,132107
577,8,42,145042
674,8,12,185735
674,8,56,185836
706,8,34,193748
707,8,34,193759
674,8,33,194583
674,8,11,196461
651,8,32,196773
881,8,32,196773
680,8,32,196773
680,8,4,200108
881,8,4,200109
651,8,4,200109
880,8,69,201357
720,9,43,17162
806,9,51,17549
884,9,71,17798
806,9,43,51369
803,10,69,39786
807,10,69,39786
808,10,69,39786
598,10,69,39786
686,10,69,39787
588,10,69,39787
589,10,69,39787
590,10,69,39787
591,10,69,39787
847,10,69,39787
616,10,22,40176
863,10,22,41043
855,10,22,41044
604,10,69,41082
595,10,69,41083
852,10,69,41083
850,10,69,41098
869,10,69,41108
870,10,69,41108
868,10,69,41152
871,10,69,41198
872,10,69,43444
698,10,7,45619
887,10,14,49589
617,10,22,50909
620,10,32,53648
620,10,1,53674
619,10,1,53674
618,10,1,53674
695,10,33,54032
687,10,33,54072
694,10,33,54073
801,10,32,54189
801,10,22,91181
552,10,22,91257
618,10,22,91258
578,10,47,91312
587,10,47,91312
896,10,32,91325
578,10,32,91326
587,10,32,91326
697,10,1,91502
587,10,1,91522
587,10,32,91651
664,10,32,91651
896,10,17,91699
793,10,69,205101
683,10,69,205101
680,10,69,205102
651,10,69,205103
877,10,69,205104
674,10,69,205105
686,11,26,23952
887,11,26,23954
828,11,61,24589
580,11,14,25941
581,11,14,26253
891,11,23,43785
698,11,23,43786
847,11,23,43786
591,11,23,43787
590,11,23,43787
589,11,23,43789
588,11,23,43790
598,11,23,43791
808,11,23,43791
807,11,23,43791
803,11,23,43791
698,11,24,43903
891,11,24,43903
589,11,24,43903
590,11,24,43904
847,11,24,43904
591,11,24,43904
808,11,24,43904
807,11,24,43904
803,11,24,43904
698,11,24,43978
697,11,43,44661
801,11,43,44669
587,11,43,44669
694,11,43,44670
569,11,17,54990
687,11,32,88435
695,11,32,88435
620,11,32,88445
620,11,32,88445
620,11,31,90566
569,11,31,90566
896,11,32,91625
847,11,14,95746
591,11,14,95748
590,11,14,95748
598,11,14,95749
808,11,14,95749
803,11,14,95750
662,11,14,113325
717,11,14,113325
582,11,14,113326
674,11,47,178893
717,11,47,179373
575,11,10,181667
651,11,1,196626
881,11,69,197227
881,11,69,197357
680,11,69,197394
680,11,69,197395
651,11,17,197570
881,11,17,197571
680,11,17,197571
680,11,29,197905
807,12,4,33951
808,12,4,33951
686,12,4,33952
590,12,4,33956
591,12,4,33956
847,12,4,33957
828,12,24,34976
589,12,19,36181
891,12,19,36181
576,12,19,36181
887,12,19,36181
698,12,19,36182
587,12,19,36296
887,12,43,36311
803,12,43,36457
698,12,43,36457
891,12,43,36457
576,12,43,36457
694,12,19,36679
588,12,71,37368
801,12,71,37369
801,12,5,38246
588,12,5,38408
697,12,19,38435
620,12,43,49656
569,12,43,49656
598,12,43,49768
687,12,43,49768
695,12,43,49768
569,12,43,49791
896,12,75,50384
578,12,43,50744
578,12,43,50791
577,12,56,54365
717,12,59,71367
662,12,59,71368
717,12,32,87827
674,12,32,87828
674,12,4,102283
674,12,59,102321
674,12,28,151992
780,12,33,152021
680,12,4,157215
881,12,4,157218
651,12,4,159343
651,12,29,161745
881,12,29,161746
591,13,26,28560
847,13,26,28561
590,13,26,28561
589,13,26,28562
891,13,26,28562
576,13,26,28562
828,13,26,28562
887,13,26,28563
686,13,26,28564
576,14,11,25784
828,14,11,25785
887,14,11,25785
686,14,11,25785
891,14,23,43777
698,14,23,43778
847,14,23,43778
591,14,23,43778
590,14,23,43779
589,14,23,43779
588,14,23,43780
598,14,23,43780
808,14,23,43781
807,14,23,43781
803,14,23,43781
686,14,12,94358
587,14,12,94358
578,14,12,94728
896,14,12,94728
695,14,12,94920
620,14,31,95393
569,14,31,95394
697,14,31,95394
801,14,31,95407
620,14,11,95666
687,14,11,95667
577,14,11,95668
569,14,11,95669
587,14,11,95670
662,14,56,107524
717,14,56,107526
717,14,56,107527
662,14,56,107528
577,14,12,110486
687,14,12,110486
569,14,12,110487
620,14,12,110489
801,14,12,110490
674,14,11,180990
579,14,11,181024
813,14,57,182911
674,14,12,184465
578,14,12,185414
674,14,76,191531
881,14,12,199086
680,14,12,199311
780,14,12,199312
686,15,41,10184
808,15,52,11449
807,15,52,11449
588,15,52,11472
591,15,52,11472
847,15,52,11472
590,15,52,11473
589,15,52,11473
660,15,28,29303
561,15,6,32385
862,15,69,36972
864,15,69,37491
865,15,69,37494
866,15,69,37518
867,15,69,37623
786,15,45,131985
630,15,22,183927
698,16,7,29097
694,16,7,29097
887,16,7,29102
828,16,7,29102
576,16,7,29102
891,16,7,29103
589,16,7,29104
588,16,7,29106
807,16,7,29106
808,16,7,29107
686,16,7,29108
590,16,7,29109
591,16,26,29208
847,16,26,29215
801,16,28,32662
697,16,28,35227
587,16,12,36293
832,16,64,37401
847,16,7,37447
587,16,5,37508
598,16,23,46906
687,16,42,97330
569,16,42,97331
620,16,42,97331
695,16,42,97331
578,16,42,97337
598,16,42,97340
717,16,38,99046
577,16,59,101172
591,17,37,29220
847,17,37,29220
590,17,37,29220
589,17,37,29221
891,17,37,29221
576,17,37,29221
828,17,37,29221
887,17,37,29221
686,17,37,29221
590,17,16,29222
686,17,16,29222
808,17,16,29223
807,17,16,29223
588,17,16,29223
589,17,16,29223
891,17,16,29223
576,17,16,29223
828,17,16,29223
887,17,16,29223
598,17,56,46058
569,17,56,46059
588,17,56,46059
801,17,56,46059
587,17,56,46059
803,17,56,46248
807,17,56,46248
808,17,56,46248
686,17,56,46249
694,17,56,46249
698,17,56,46254
697,17,56,46254
583,17,16,49588
811,17,56,53907
620,17,43,89863
687,17,43,89863
620,17,47,90336
687,17,47,90337
578,17,1,90479
896,17,75,91275
896,17,1,92210
577,17,11,95202
578,17,11,95202
687,17,56,95548
620,17,56,95549
674,17,32,194951
674,17,8,194956
674,17,43,195162
680,17,8,196951
680,17,8,197403
881,17,8,197404
651,17,8,197404
651,17,32,197530
881,17,32,197530
680,17,32,197530
680,17,32,197530
881,17,8,200121
565,17,8,201728
805,17,49,201849
683,17,32,202226
877,17,32,202226
566,17,8,202267
651,17,12,202924
807,19,4,34913
808,19,4,34913
686,19,4,34914
590,19,4,34920
591,19,4,34921
847,19,4,34925
589,19,5,35992
891,19,5,35992
576,19,5,35992
828,19,5,35992
887,19,5,35995
698,19,5,35996
803,19,5,35997
697,19,16,36516
801,19,16,36523
588,19,16,36523
694,19,16,36523
563,19,6,36540
564,19,6,36758
801,19,33,97352
620,19,33,97353
577,19,8,106941
717,19,42,107384
775,19,45,108123
662,19,28,108256
828,19,61,108741
891,19,28,109313
828,19,28,109313
569,19,28,109313
662,19,28,109313
891,19,4,111202
801,19,4,111203
577,19,32,115157
578,19,32,115158
620,19,32,115351
801,19,32,115352
578,19,32,115352
717,19,11,121955
686,20,42,18590
701,21,34,45519
771,21,45,45695
847,22,69,9489
848,22,69,9567
686,22,65,10364
686,22,69,13108
851,22,69,13226
852,22,69,13525
853,22,69,13681
808,22,48,21254
807,22,48,21255
803,22,48,21255
854,22,69,35478
860,22,69,35773
859,22,69,35773
858,22,69,35773
857,22,69,35773
856,22,69,35773
855,22,69,35773
861,22,69,35912
862,22,69,36969
863,22,69,37074
864,22,69,37481
865,22,69,37492
866,22,69,37517
867,22,69,37643
551,22,1,40078
568,22,10,40557
569,22,10,41013
569,22,10,41025
868,22,69,41123
868,22,69,41124
573,22,10,50952
887,22,10,50953
552,22,1,50973
568,22,1,51092
569,22,1,51092
868,22,1,51092
871,22,1,51093
872,22,1,51093
572,22,1,51332
698,22,1,51333
891,22,1,51333
576,22,1,51333
828,22,1,51335
664,22,1,89001
587,22,1,89001
697,22,1,89002
695,22,1,89012
687,22,1,89037
694,22,1,89037
801,22,1,89044
571,22,1,89045
871,22,10,91318
571,22,10,91319
872,22,10,91319
698,22,10,91319
891,22,10,91319
576,22,10,91319
828,22,10,91319
574,22,10,92039
896,22,10,92040
578,22,10,92042
896,22,32,92068
578,22,32,92068
578,22,32,92068
896,22,32,92069
801,22,51,110285
896,22,12,127519
695,22,12,127520
687,22,12,127524
697,22,12,127524
694,22,12,127530
803,22,12,127551
698,22,12,127552
887,22,12,127552
847,22,12,127552
686,22,12,127553
808,22,12,127554
807,22,12,127555
813,22,36,185342
873,22,69,190609
874,22,69,190633
874,22,69,190678
793,22,45,192699
877,22,69,194571
554,22,1,195013
878,22,69,195055
691,22,33,195662
691,22,33,195665
876,22,69,195849
875,22,69,195849
674,22,69,195849
555,22,1,196446
881,22,69,196475
881,22,1,197983
680,22,1,197983
683,22,1,197984
882,22,69,198118
883,22,69,198509
683,22,69,199943
680,22,69,199943
793,22,32,207026
683,22,32,207032
877,22,32,207033
881,22,32,207033
677,22,32,207033
675,22,32,207034
673,22,32,207034
803,23,69,30894
807,23,69,30895
808,23,69,30896
598,23,69,30901
849,23,69,30901
686,23,69,30901
588,23,69,30902
589,23,69,30902
590,23,69,30902
591,23,69,30903
847,23,69,30903
847,23,69,30904
591,23,69,30904
590,23,69,30904
589,23,69,30904
