@relation activity-weka.filters.unsupervised.attribute.AddExpression-Ea2-a1-Nduration-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-Rlast

@attribute user_id numeric
@attribute start numeric
@attribute end numeric
@attribute duration {0,1,2,3}

@data
56,214180,249841,2
56,257591,257662,3
56,277261,320457,3
57,18934,62085,0
57,62135,105331,0
57,105335,134914,1
57,180113,187914,2
59,36266,38067,0
59,53933,97129,0
59,97135,140331,1
59,140336,148668,1
60,6861,41460,0
60,96748,139859,1
60,139949,143889,1
60,194492,237681,2
60,237694,267184,3
61,232,582,0
61,680,1954,0
61,1991,45154,0
61,45192,69142,0
61,98039,141211,1
61,141241,147178,1
61,175398,218590,2
61,218600,227302,2
61,260921,269924,3
62,34301,39271,0
63,42686,50221,0
63,94883,101656,1
63,116372,159570,1
63,159574,197021,2
64,3289,46399,0
64,46490,60698,0
64,86232,96905,1
64,97050,113288,1
64,122608,165758,1
64,165809,177602,2
64,177712,203162,2
64,203324,215877,2
65,99025,142222,1
65,142227,144362,1
65,181753,182026,2
65,186149,206604,2
66,9534,23701,0
66,26545,33036,0
66,94221,114666,1
66,118122,138957,1
66,183690,208955,2
67,3720,46807,0
67,46922,90103,0
67,90122,133212,1
67,133322,176453,1
67,176522,219698,2
67,219722,262864,2
67,262922,265972,3
68,4366,4662,0
68,4780,47889,0
68,47981,91119,0
68,91181,134365,1
68,134381,149774,1
69,8970,48572,0
69,190134,193959,2
69,194056,208080,2
70,15204,58334,0
70,58405,101550,0
70,101605,134975,1
71,17106,41082,0
71,43256,54584,0
71,100533,143695,1
71,143734,186875,1
71,186934,204881,2
71,205002,207374,2
72,1361,10468,0
72,13487,56651,0
72,56688,99815,0
72,99888,142976,1
72,143088,186212,1
72,186289,229413,2
72,229489,268142,2
73,96380,99462,1
74,182,2148,0
74,2199,2798,0
74,3356,8663,0
74,8840,9134,0
74,10644,11820,0
74,12581,21753,0
74,21778,29500,0
74,29549,45834,0
74,46975,48002,0
74,48107,48562,0
74,92019,114012,1
74,114159,114610,1
74,114735,115045,1
74,117605,137024,1
74,137187,138288,1
74,182443,201026,2
74,201131,244304,2
74,244331,276583,3
74,290012,320703,3
75,2191,8885,0
75,90868,131497,1
75,177139,220287,2
75,220347,263434,2
75,263549,306715,3
75,306754,349937,3
76,2748,13134,0
76,13206,35687,0
76,42793,43130,0
76,95269,98849,1
76,99548,115372,1
76,115705,130995,1
76,182943,207453,2
