@relation friends1-weka.filters.unsupervised.attribute.AddExpression-E0-Ntime_added

@attribute user1_id numeric
@attribute user2_id numeric
@attribute time_added numeric

@data
1,22,0
1,69,194434
1,10,40967
2,56,0
2,55,0
2,50,0
2,59,0
3,4,114167
3,31,122496
3,33,100557
3,56,38211
3,61,0
3,32,0
4,43,0
4,12,0
5,60,31389
5,6,31922
5,35,31376
6,5,36047
6,35,0
6,60,0
7,13,0
7,21,0
7,39,0
7,35,0
7,20,0
7,55,0
8,49,192715
8,29,192705
8,56,0
8,17,201264
8,27,117656
8,45,192689
9,43,17002
9,76,0
9,75,0
9,63,0
9,51,0
9,66,0
9,44,0
9,20,0
9,18,0
9,39,0
9,70,0
10,22,0
10,33,53681
10,1,0
10,69,0
11,14,0
12,39,65900
12,43,36345
12,51,0
12,48,0
12,20,0
12,19,36318
12,61,0
13,49,0
13,50,0
13,57,0
13,54,0
13,20,0
13,21,0
13,39,0
13,61,0
13,63,0
13,74,0
13,75,0
13,34,0
13,7,0
13,31,0
13,76,0
14,60,0
14,11,0
15,57,27371
15,7,27356
15,11,90115
15,46,0
15,39,0
15,49,0
16,17,0
17,49,200428
17,29,201344
17,8,200341
17,32,201037
17,56,0
18,75,0
18,9,0
18,51,0
18,39,0
18,61,0
18,25,0
20,12,0
20,9,0
20,7,0
20,13,0
20,76,0
20,31,0
20,48,0
20,63,0
20,39,0
20,44,0
20,34,0
21,54,0
21,49,0
21,7,0
21,39,0
21,13,0
22,56,110712
22,2,110151
22,60,127969
22,36,185223
22,40,106734
22,11,129262
22,39,194255
22,63,193741
22,31,90683
22,57,90461
22,27,89940
22,48,12149
22,49,20138
22,21,21350
22,76,22694
22,10,40145
22,25,194681
22,32,88510
22,9,52102
22,65,10159
22,33,11958
22,69,0
22,1,0
23,27,0
24,38,4272
24,58,4750
24,57,26958
24,64,4607
24,11,26449
24,19,4438
24,63,27382
25,38,12763
25,18,0
25,39,184226
25,19,36400
25,31,0
25,48,0
25,51,0
25,61,0
25,75,0
26,45,0
27,23,0
28,24,0
29,49,190506
29,41,7344
29,8,190485
29,17,201483
29,52,16245
29,33,5549
29,45,17520
29,34,0
29,24,0
30,74,113315
31,75,0
31,76,0
31,71,0
31,51,0
31,13,0
31,39,0
31,61,0
31,25,0
31,20,0
31,74,48595
31,43,48708
32,76,123250
32,35,53423
32,3,1510
32,33,0
32,45,5884
32,36,106543
32,57,180677
32,22,184931
32,17,205784
32,61,123272
32,43,53569
32,47,97401
33,61,196155
33,52,13537
33,22,195409
33,43,53481
33,29,12584
33,32,0
33,45,12564
33,34,12573
34,48,101518
34,42,106742
34,28,107670
34,9,42896
34,61,108016
34,56,42739
34,49,0
34,41,12047
