@relation relationships-weka.filters.unsupervised.attribute.NumericToNominal-R11-weka.filters.unsupervised.attribute.Discretize-F-B2-M-1.0-R3-10

@attribute detectorId numeric
@attribute detectedId numeric
@attribute detected_frequency {0,1}
@attribute detected_daytime {0,1}
@attribute detected_evening {0,1}
@attribute detected_latenight {0,1}
@attribute duration_short {0,1}
@attribute duration_long {0,1}
@attribute distance_close {0,1}
@attribute distance_far {0,1}
@attribute friendship {0,1}

@data
6,22,1,1,0,0,0,1,1,0,0
6,23,0,0,0,0,0,0,0,0,0
6,24,1,1,0,0,1,1,1,0,0
7,1,1,1,1,0,1,1,1,1,1
7,2,1,1,1,0,1,1,1,1,1
7,3,0,0,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0,0,1
7,5,1,1,1,0,1,1,1,1,1
7,6,0,0,0,0,0,0,0,0,1
7,8,1,1,1,0,1,1,1,1,0
7,9,1,1,1,0,1,1,1,1,1
7,10,0,0,0,0,0,0,0,0,0
7,11,0,0,0,0,0,0,0,0,1
7,12,1,1,1,0,1,1,1,1,1
7,13,1,1,1,0,1,1,1,1,1
7,14,0,0,0,0,0,0,0,0,1
7,15,1,1,1,0,1,1,1,1,1
7,16,0,0,0,0,0,0,0,0,1
7,17,0,0,0,0,0,0,0,0,1
7,18,0,0,0,0,0,0,0,0,0
7,19,0,0,0,0,0,0,0,0,1
7,20,1,1,1,0,1,1,1,1,1
7,21,1,1,0,0,1,1,1,1,0
7,22,0,0,0,0,0,0,0,0,0
7,23,0,0,0,0,0,0,0,0,0
7,24,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,1
8,2,1,1,0,0,0,1,1,0,1
8,3,0,0,0,0,0,0,0,0,0
8,4,1,1,1,0,1,1,1,1,1
8,5,1,1,1,0,1,1,1,1,0
8,6,1,0,1,0,1,0,1,1,0
8,7,0,0,0,0,0,0,0,0,0
8,9,1,1,1,0,1,1,1,1,0
8,10,0,0,0,0,0,0,0,0,0
8,11,1,1,0,0,1,1,1,0,0
8,12,0,0,0,0,0,0,0,0,1
8,13,0,0,0,0,0,0,0,0,0
8,14,1,1,1,0,1,1,1,1,0
8,15,1,1,1,0,1,1,1,1,1
8,16,0,0,0,0,0,0,0,0,0
8,17,1,1,0,0,1,1,1,1,0
8,18,1,1,0,0,0,1,1,0,0
8,19,1,1,0,0,1,0,1,0,0
8,20,1,1,0,0,0,1,1,1,0
8,21,1,1,1,0,1,1,1,1,0
8,22,1,1,1,0,1,1,1,0,0
8,23,1,0,1,0,1,0,1,0,0
8,24,0,0,0,0,0,0,0,0,0
9,1,1,1,1,1,1,1,1,1,1
9,2,1,1,1,0,1,1,1,1,1
9,3,1,0,1,0,1,0,1,1,1
9,4,1,0,1,0,1,1,1,1,0
9,5,1,1,1,1,1,1,1,1,1
9,6,1,0,1,0,1,1,1,1,1
9,7,1,0,1,0,1,0,1,1,1
9,8,1,1,1,0,1,1,1,1,0
9,10,0,0,0,0,0,0,0,0,0
9,11,1,1,0,0,1,0,1,1,1
9,12,1,0,1,1,1,0,1,1,1
9,13,0,0,0,0,0,0,0,0,1
9,14,1,1,1,1,1,1,1,1,1
9,15,1,1,1,0,1,1,1,1,0
9,16,0,0,0,0,0,0,0,0,1
9,17,1,0,1,0,1,0,1,1,0
9,18,0,0,0,0,0,0,0,0,1
9,19,1,0,1,0,1,0,1,1,1
9,20,0,0,0,0,0,0,0,0,1
9,21,1,1,1,0,1,1,1,1,0
9,22,1,1,1,0,1,0,1,1,0
9,23,0,0,0,0,0,0,0,0,0
9,24,1,0,1,0,1,0,1,0,0
10,1,1,1,0,0,0,1,1,1,0
10,2,1,1,0,0,1,1,1,1,0
10,3,0,0,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0,0,1
10,5,0,0,0,0,0,0,0,0,0
10,6,0,0,0,0,0,0,0,0,0
10,7,0,0,0,0,0,0,0,0,0
10,8,1,1,0,0,0,1,1,0,0
10,9,0,0,0,0,0,0,0,0,0
10,11,0,0,0,0,0,0,0,0,0
10,12,0,0,0,0,0,0,0,0,0
10,13,0,0,0,0,0,0,0,0,0
10,14,0,0,0,0,0,0,0,0,1
10,15,0,0,0,0,0,0,0,0,1
10,16,0,0,0,0,0,0,0,0,0
10,17,0,0,0,0,0,0,0,0,0
10,18,1,1,0,0,1,1,1,0,0
10,19,0,0,0,0,0,0,0,0,0
10,20,0,0,0,0,0,0,0,0,0
10,21,0,0,0,0,0,0,0,0,0
10,22,0,0,0,0,0,0,0,0,0
10,23,0,0,0,0,0,0,0,0,0
10,24,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,1
11,2,1,0,1,0,1,1,1,1,0
11,3,0,0,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0,0,1
11,5,1,0,1,0,1,1,1,1,1
11,6,0,0,0,0,0,0,0,0,1
11,7,0,0,0,0,0,0,0,0,1
11,8,1,0,1,0,1,1,1,1,0
11,9,1,0,1,0,1,1,1,1,1
11,10,0,0,0,0,0,0,0,0,0
11,12,0,0,0,0,0,0,0,0,1
11,13,0,0,0,0,0,0,0,0,1
11,14,1,0,1,0,0,1,0,1,1
11,15,1,0,1,0,1,1,1,1,0
11,16,0,0,0,0,0,0,0,0,1
11,17,1,0,1,0,0,1,1,0,1
11,18,1,0,1,0,1,1,1,1,0
11,19,1,1,0,0,0,1,1,0,0
11,20,0,0,0,0,0,0,0,0,0
11,21,1,0,1,0,0,1,0,1,0
11,22,0,0,0,0,0,0,0,0,0
11,23,0,0,0,0,0,0,0,0,0
11,24,0,0,0,0,0,0,0,0,0
12,1,1,1,0,0,1,1,0,1,1
12,2,1,1,0,0,1,1,0,1,1
12,3,0,0,0,0,0,0,0,0,0
12,4,1,1,1,0,1,0,1,1,1
12,5,1,0,1,1,1,0,1,1,1
12,6,0,0,0,0,0,0,0,0,1
12,7,1,1,1,0,1,0,1,1,1
12,8,1,1,0,0,1,1,1,0,1
12,9,1,1,0,0,1,0,1,1,1
12,10,0,0,0,0,0,0,0,0,0
12,11,0,0,0,0,0,0,0,0,1
12,13,1,1,1,1,1,1,1,1,1
12,14,1,0,0,1,1,0,1,1,1
12,15,1,0,1,0,1,1,1,1,1
12,16,0,0,0,0,0,0,0,0,1
12,17,0,0,0,0,0,0,0,0,1
12,18,0,0,0,0,0,0,0,0,0
12,19,1,1,0,0,1,0,1,0,1
12,20,0,0,0,0,0,0,0,0,1
12,21,0,0,0,0,0,0,0,0,0
12,22,0,0,0,0,0,0,0,0,0
12,23,0,0,0,0,0,0,0,0,0
12,24,0,0,0,0,0,0,0,0,0
13,1,1,1,0,0,1,1,1,1,1
13,2,1,1,0,0,0,1,0,1,1
13,3,0,0,0,0,0,0,0,0,0
13,4,0,0,0,0,0,0,0,0,1
13,5,1,0,1,1,1,0,1,1,1
13,6,0,0,0,0,0,0,0,0,0
13,7,1,1,1,0,1,0,1,1,0
13,8,1,1,0,0,0,1,1,0,0
13,9,1,1,0,0,1,1,1,0,1
13,10,0,0,0,0,0,0,0,0,0
13,11,0,0,0,0,0,0,0,0,1
13,12,1,0,1,1,1,1,1,1,1
13,14,1,1,0,1,1,1,1,1,1
13,15,1,1,1,0,1,0,1,1,0
13,16,0,0,0,0,0,0,0,0,1
13,17,0,0,0,0,0,0,0,0,1
13,18,0,0,0,0,0,0,0,0,0
13,19,0,0,0,0,0,0,0,0,0
13,20,0,0,0,0,0,0,0,0,1
13,21,0,0,0,0,0,0,0,0,0
13,22,0,0,0,0,0,0,0,0,0
13,23,0,0,0,0,0,0,0,0,0
13,24,0,0,0,0,0,0,0,0,0
14,1,1,1,1,0,1,1,1,1,0
14,2,1,1,0,0,0,1,1,1,1
14,3,1,0,1,0,1,0,1,0,1
14,4,1,1,1,0,1,1,1,1,1
14,5,1,1,1,0,1,1,1,1,1
14,6,1,1,0,0,0,1,1,0,1
14,7,0,0,0,0,0,0,0,0,1
14,8,1,1,1,0,1,1,1,1,0
14,9,1,1,1,0,1,1,1,1,0
14,10,0,0,0,0,0,0,0,0,1
14,11,1,1,0,0,1,1,1,1,1
14,12,0,0,0,0,0,0,0,0,1
14,13,0,0,0,0,0,0,0,0,1
14,15,1,1,1,0,1,1,1,1,1
14,16,0,0,0,0,0,0,0,0,1
14,17,0,0,0,0,0,0,0,0,1
14,18,1,1,0,0,0,1,1,0,1
14,19,0,0,0,0,0,0,0,0,0
14,20,0,0,0,0,0,0,0,0,1
14,21,1,1,0,0,1,1,1,1,0
14,22,1,1,0,0,1,1,1,0,0
14,23,1,1,1,0,1,1,1,0,0
14,24,1,1,0,0,0,1,1,1,0
15,1,1,0,1,0,1,1,1,1,1
15,2,1,1,1,0,1,1,1,1,1
15,3,1,0,1,0,1,1,1,1,0
15,4,1,1,1,0,1,1,1,1,1
15,5,1,1,1,0,1,1,1,1,0
15,6,0,0,0,0,0,0,0,0,0
15,7,1,1,1,0,1,0,1,1,1
15,8,1,1,1,0,1,1,1,1,1
15,9,1,1,1,0,1,1,1,1,0
15,10,0,0,0,0,0,0,0,0,1
15,11,1,1,1,0,1,1,1,1,0
15,12,1,1,1,0,1,1,1,1,1
15,13,1,1,1,0,1,1,1,1,0
15,14,1,1,1,0,1,1,1,1,1
15,16,0,0,0,0,0,0,0,0,0
15,17,1,1,1,0,1,1,1,1,1
15,18,0,0,0,0,0,0,0,0,0
15,19,1,1,0,0,1,1,1,1,0
15,20,0,0,0,0,0,0,0,0,0
15,21,1,1,1,0,1,1,1,1,0
15,22,1,1,0,0,1,1,1,0,0
15,23,1,1,1,0,1,0,1,0,0
15,24,1,1,1,0,1,1,1,1,0
16,1,0,0,0,0,0,0,0,0,0
16,2,0,0,0,0,0,0,0,0,0
16,3,0,0,0,0,0,0,0,0,0
16,4,0,0,0,0,0,0,0,0,0
16,5,0,0,0,0,0,0,0,0,0
16,6,0,0,0,0,0,0,0,0,1
16,7,0,0,0,0,0,0,0,0,1
16,8,0,0,0,0,0,0,0,0,0
16,9,0,0,0,0,0,0,0,0,1
