@relation relationships-weka.filters.unsupervised.attribute.NumericToNominal-R11

@attribute detectorId numeric
@attribute detectedId numeric
@attribute detected_frequency numeric
@attribute detected_daytime numeric
@attribute detected_evening numeric
@attribute detected_latenight numeric
@attribute duration_short numeric
@attribute duration_long numeric
@attribute distance_close numeric
@attribute distance_far numeric
@attribute friendship {0,1}

@data
6,23,0,0,0,0,0,0,0,0,0
6,24,5,5,0,0,1,4,5,0,0
7,1,110,58,52,0,80,30,73,37,1
7,2,150,68,82,0,117,33,28,122,1
7,3,0,0,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0,0,1
7,5,883,286,597,0,867,16,111,772,1
7,6,0,0,0,0,0,0,0,0,1
7,8,123,60,63,0,96,27,86,37,0
7,9,395,201,194,0,387,8,117,278,1
7,10,0,0,0,0,0,0,0,0,0
7,11,0,0,0,0,0,0,0,0,1
7,12,1607,492,1115,0,1584,23,1398,209,1
7,13,580,195,385,0,567,13,363,217,1
7,14,0,0,0,0,0,0,0,0,1
7,15,1990,692,1298,0,1971,19,157,1833,1
7,16,0,0,0,0,0,0,0,0,1
7,17,0,0,0,0,0,0,0,0,1
7,18,0,0,0,0,0,0,0,0,0
7,19,0,0,0,0,0,0,0,0,1
7,20,65,19,46,0,62,3,61,4,1
7,21,51,51,0,0,35,16,13,38,0
7,22,0,0,0,0,0,0,0,0,0
7,23,0,0,0,0,0,0,0,0,0
7,24,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,1
8,2,13,13,0,0,0,13,13,0,1
8,3,0,0,0,0,0,0,0,0,0
8,4,350,21,329,0,343,7,346,4,1
8,5,1133,342,791,0,1087,46,1005,128,0
8,6,75,0,75,0,75,0,21,54,0
8,7,0,0,0,0,0,0,0,0,0
8,9,1077,101,976,0,1049,28,951,126,0
8,10,0,0,0,0,0,0,0,0,0
8,11,105,105,0,0,104,1,105,0,0
8,12,0,0,0,0,0,0,0,0,1
8,13,0,0,0,0,0,0,0,0,0
8,14,1501,257,1244,0,1428,73,1158,343,0
8,15,771,330,441,0,744,27,284,487,1
8,16,0,0,0,0,0,0,0,0,0
8,17,3,3,0,0,1,2,1,2,0
8,18,4,4,0,0,0,4,4,0,0
8,19,1,1,0,0,1,0,1,0,0
8,20,3,3,0,0,0,3,1,2,0
8,21,286,282,4,0,274,12,272,14,0
8,22,11,8,3,0,3,8,11,0,0
8,23,1,0,1,0,1,0,1,0,0
8,24,0,0,0,0,0,0,0,0,0
9,1,1696,3,696,997,1496,200,494,1202,1
9,2,849,4,845,0,817,32,88,761,1
9,3,70,0,70,0,70,0,65,5,1
9,4,1851,0,1851,0,1842,9,310,1541,0
9,5,1298,410,440,448,1228,70,452,846,1
9,6,777,0,777,0,772,5,597,180,1
9,7,527,0,527,0,527,0,385,142,1
9,8,515,164,351,0,490,25,439,76,0
9,10,0,0,0,0,0,0,0,0,0
9,11,44,44,0,0,44,0,6,38,1
9,12,5,0,4,1,5,0,3,2,1
9,13,0,0,0,0,0,0,0,0,1
9,14,829,114,600,115,785,44,386,443,1
9,15,4148,1689,2459,0,4083,65,2334,1814,0
9,16,0,0,0,0,0,0,0,0,1
9,17,109,0,109,0,109,0,54,55,0
9,18,0,0,0,0,0,0,0,0,1
9,19,171,0,171,0,171,0,52,119,1
9,20,0,0,0,0,0,0,0,0,1
9,21,90,81,9,0,80,10,80,10,0
9,22,16,6,10,0,16,0,15,1,0
9,23,0,0,0,0,0,0,0,0,0
9,24,3,0,3,0,3,0,3,0,0
10,1,2,2,0,0,0,2,1,1,0
10,2,4,4,0,0,1,3,2,2,0
10,3,0,0,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0,0,1
10,5,0,0,0,0,0,0,0,0,0
10,6,0,0,0,0,0,0,0,0,0
